Time,Ecg1
11:06:06.229639,6230801.0
11:06:06.269639,6230283.0
11:06:06.309639,6229870.0
11:06:06.349639,6237018.0
11:06:06.389639,6229306.0
11:06:06.429639,6230273.0
11:06:06.469639,6230282.0
11:06:06.509639,6230727.0
11:06:06.549639,6231113.0
11:06:06.589639,6231471.0
11:06:06.629639,6231652.0
11:06:06.669639,6232263.0
11:06:06.709639,6233245.0
11:06:06.749639,6234179.0
11:06:06.789639,6234523.0
11:06:06.829639,6234854.0
11:06:06.869639,6235830.0
11:06:06.909639,6236547.0
11:06:06.949639,6236266.0
11:06:06.989639,6243740.0
11:06:07.029639,6234422.0
11:06:07.069639,6236472.0
11:06:07.109639,6236576.0
11:06:07.149639,6236583.0
11:06:07.189639,6236146.0
11:06:07.229639,6236374.0
11:06:07.269639,6236499.0
11:06:07.309639,6236153.0
11:06:07.349639,6236180.0
11:06:07.389639,6236196.0
11:06:07.429639,6239198.0
11:06:07.469639,6234296.0
11:06:07.509639,6234572.0
11:06:07.549639,6234251.0
11:06:07.589639,6233535.0
11:06:07.629639,6233539.0
11:06:07.669639,6232963.0
11:06:07.709639,6232512.0
11:06:07.749639,6232025.0
11:06:07.789639,6232142.0
11:06:07.829639,6231250.0
11:06:07.869639,6230537.0
11:06:07.909639,6229888.0
11:06:07.949639,6230049.0
11:06:07.989639,6235415.0
11:06:08.029639,6227776.0
11:06:08.069639,6228256.0
11:06:08.109639,6227646.0
11:06:08.149639,6227475.0
11:06:08.189639,6226868.0
11:06:08.229639,6226886.0
11:06:08.269639,6226541.0
11:06:08.309639,6226387.0
11:06:08.349639,6225717.0
11:06:08.389639,6225047.0
11:06:08.429639,6223908.0
11:06:08.469639,6230374.0
11:06:08.509639,6222507.0
11:06:08.549639,6222473.0
11:06:08.589639,6221900.0
11:06:08.629639,6222905.0
11:06:08.669639,6228537.0
11:06:08.709639,6230064.0
11:06:08.749639,6230866.0
11:06:08.789639,6232106.0
11:06:08.829639,6236143.0
11:06:08.869639,6232067.0
11:06:08.909639,6231766.0
11:06:08.949639,6230954.0
11:06:08.989639,6230673.0
11:06:09.029639,6230878.0
11:06:09.069639,6229637.0
11:06:09.109639,6229592.0
11:06:09.149639,6229581.0
11:06:09.189639,6228832.0
11:06:09.229639,6228268.0
11:06:09.269639,6228285.0
11:06:09.309639,6228665.0
11:06:09.349639,6229105.0
11:06:09.389639,6227321.0
11:06:09.429639,6227496.0
11:06:09.469639,6226930.0
11:06:09.509639,6226131.0
11:06:09.549639,6226474.0
11:06:09.589639,6226311.0
11:06:09.629639,6225772.0
11:06:09.669639,6225330.0
11:06:09.709639,6225723.0
11:06:09.749639,6232625.0
11:06:09.789639,6223365.0
11:06:09.829639,6224191.0
11:06:09.869639,6223971.0
11:06:09.909639,6223645.0
11:06:09.949639,6223672.0
11:06:09.989639,6224037.0
11:06:10.029639,6223954.0
11:06:10.069639,6223552.0
11:06:10.109639,6223221.0
11:06:10.149639,6223231.0
11:06:10.189639,6223172.0
11:06:10.378085,6223542.0
11:06:10.418085,6220766.0
11:06:10.458085,6221360.0
11:06:10.498085,6221574.0
11:06:10.538085,6221481.0
11:06:10.578085,6221098.0
11:06:10.618085,6221312.0
11:06:10.658085,6221467.0
11:06:10.698085,6221573.0
11:06:10.738085,6225939.0
11:06:10.778085,6220826.0
11:06:10.818085,6221364.0
11:06:10.858085,6221897.0
11:06:10.898085,6222066.0
11:06:10.938085,6221848.0
11:06:10.978085,6222177.0
11:06:11.018085,6222004.0
11:06:11.058085,6222012.0
11:06:11.098085,6223928.0
11:06:11.138085,6221324.0
11:06:11.178085,6221012.0
11:06:11.218085,6221123.0
11:06:11.258085,6221192.0
11:06:11.298085,6221230.0
11:06:11.338085,6220958.0
11:06:11.378085,6221060.0
11:06:11.418085,6221257.0
11:06:11.458085,6221083.0
11:06:11.498085,6220863.0
11:06:11.538085,6220504.0
11:06:11.578085,6222781.0
11:06:11.618085,6219971.0
11:06:11.658085,6220027.0
11:06:11.698085,6219687.0
11:06:11.738085,6219972.0
11:06:11.778085,6219785.0
11:06:11.818085,6220194.0
11:06:11.858085,6219570.0
11:06:11.898085,6219645.0
11:06:11.938085,6219694.0
11:06:11.978085,6219620.0
11:06:12.018085,6222414.0
11:06:12.058085,6218064.0
11:06:12.098085,6218860.0
11:06:12.138085,6218936.0
11:06:12.178085,6218389.0
11:06:12.218085,6218445.0
11:06:12.258085,6218974.0
11:06:12.298085,6218830.0
11:06:12.338085,6218395.0
11:06:12.378085,6218814.0
