Time,Ecg
21:52:01.155,6089156.0
21:52:01.195,6089087.0
21:52:01.235,6088970.0
21:52:01.275,6089081.0
21:52:01.315,6089420.0
21:52:01.355,6089478.0
21:52:01.395,6089016.0
21:52:01.435,6088760.0
21:52:01.475,6088696.0
21:52:01.515,6090881.0
21:52:01.555,6089984.0
21:52:01.595,6089423.0
21:52:01.635,6089612.0
21:52:01.675,6090257.0
21:52:01.715,6091206.0
21:52:01.755,6091471.0
21:52:01.795,6089870.0
21:52:01.835,6089169.0
21:52:01.875,6088982.0
21:52:01.915,6089161.0
21:52:01.955,6089117.0
21:52:01.995,6089367.0
21:52:02.035,6089551.0
21:52:02.075,6088951.0
21:52:02.115,6088790.0
21:52:02.155,6088670.0
21:52:02.195,6090931.0
21:52:02.235,6089633.0
21:52:02.275,6089460.0
21:52:02.315,6089697.0
21:52:02.355,6090239.0
21:52:02.395,6091108.0
21:52:02.435,6091687.0
21:52:02.475,6090401.0
21:52:02.515,6089201.0
21:52:02.555,6089123.0
21:52:02.595,6089197.0
21:52:02.635,6089240.0
21:52:02.675,6089246.0
21:52:02.715,6089237.0
21:52:02.755,6089549.0
21:52:02.795,6089652.0
21:52:02.835,6089031.0
21:52:02.875,6088883.0
21:52:02.915,6088942.0
21:52:02.955,6088641.0
21:52:02.995,6089952.0
21:52:03.035,6089739.0
21:52:03.075,6090008.0
21:52:03.115,6090614.0
21:52:03.155,6091583.0
21:52:03.195,6091434.0
21:52:03.235,6089655.0
21:52:03.275,6089026.0
21:52:03.315,6089116.0
21:52:03.355,6089113.0
21:52:03.395,6089129.0
21:52:03.435,6089098.0
21:52:03.475,6089126.0
21:52:03.515,6089371.0
21:52:03.555,6089149.0
21:52:03.595,6088818.0
21:52:03.635,6088704.0
21:52:03.675,6088828.0
21:52:03.715,6087281.0
21:52:03.755,6089634.0
21:52:03.795,6089447.0
21:52:03.835,6089863.0
21:52:03.875,6090593.0
21:52:03.915,6091406.0
21:52:03.955,6091156.0
21:52:03.995,6089399.0
21:52:04.035,6089108.0
21:52:04.075,6089000.0
21:52:04.115,6089122.0
21:52:04.155,6089093.0
21:52:04.195,6089187.0
21:52:04.235,6089489.0
21:52:04.275,6089624.0
21:52:04.315,6089030.0
21:52:04.355,6088836.0
21:52:04.395,6088939.0
21:52:04.435,6088281.0
21:52:04.475,6089922.0
21:52:04.515,6089635.0
21:52:04.555,6090051.0
21:52:04.595,6090812.0
21:52:04.635,6091767.0
21:52:04.675,6091499.0
21:52:04.715,6089906.0
21:52:04.755,6089411.0
21:52:04.795,6089402.0
21:52:04.835,6089419.0
21:52:04.875,6089447.0
21:52:04.915,6089407.0
21:52:04.955,6089426.0
21:52:04.995,6089614.0
21:52:05.035,6089958.0
21:52:05.075,6089293.0
21:52:05.115,6089208.0
21:52:06.095,6089084.0
21:52:06.135,6089956.0
21:52:06.175,6090176.0
21:52:06.215,6090635.0
21:52:06.255,6091422.0
21:52:06.295,6092170.0
21:52:06.335,6091335.0
21:52:06.375,6089803.0
21:52:06.415,6089551.0
21:52:06.455,6089645.0
21:52:06.495,6089695.0
21:52:06.535,6089743.0
21:52:06.575,6089667.0
21:52:06.615,6089608.0
21:52:06.655,6090053.0
21:52:06.695,6089805.0
21:52:06.735,6089484.0
21:52:06.775,6089207.0
21:52:06.815,6089549.0
21:52:06.855,6087594.0
21:52:06.895,6090240.0
21:52:06.935,6090172.0
21:52:06.975,6090446.0
21:52:07.015,6091135.0
21:52:07.055,6092179.0
21:52:07.095,6091967.0
21:52:07.135,6089990.0
21:52:07.175,6089624.0
21:52:07.215,6089742.0
21:52:07.255,6089818.0
21:52:07.295,6089801.0
21:52:07.335,6089827.0
21:52:07.375,6090173.0
21:52:07.415,6089997.0
21:52:07.455,6089649.0
21:52:07.495,6089421.0
21:52:07.535,6089907.0
21:52:07.575,6088805.0
21:52:07.615,6090191.0
21:52:07.655,6090304.0
21:52:07.695,6090655.0
21:52:07.735,6091491.0
21:52:07.775,6092474.0
21:52:07.815,6091785.0
21:52:07.855,6090193.0
21:52:07.895,6089893.0
21:52:07.935,6089824.0
21:52:07.975,6089896.0
21:52:08.015,6090048.0
21:52:08.055,6089971.0
21:52:08.095,6089869.0
21:52:08.135,6090283.0
21:52:08.175,6090270.0
21:52:08.215,6089796.0
21:52:08.255,6089546.0
21:52:08.295,6089924.0
21:52:08.335,6088292.0
21:52:08.375,6090388.0
21:52:08.415,6090518.0
21:52:08.455,6090943.0
21:52:08.495,6091716.0
21:52:08.535,6092652.0
21:52:08.575,6092158.0
21:52:08.615,6090517.0
21:52:08.655,6090043.0
21:52:08.695,6090134.0
21:52:08.735,6090082.0
21:52:08.775,6090134.0
21:52:08.815,6090109.0
21:52:08.855,6090048.0
21:52:08.895,6090379.0
21:52:08.935,6090464.0
21:52:08.975,6089801.0
21:52:09.015,6089701.0
21:52:09.055,6089659.0
21:52:09.095,6088691.0
21:52:09.135,6090664.0
21:52:09.175,6090490.0
21:52:09.215,6090914.0
21:52:09.255,6091645.0
21:52:09.295,6092679.0
21:52:09.335,6092426.0
21:52:09.375,6090598.0
21:52:09.415,6090079.0
21:52:09.455,6089997.0
21:52:09.495,6090096.0
21:52:09.535,6090165.0
21:52:09.575,6090123.0
21:52:09.615,6090043.0
21:52:09.655,6090334.0
21:52:09.695,6090621.0
21:52:09.735,6089927.0
21:52:09.775,6089753.0
21:52:09.815,6089821.0
21:52:09.855,6091820.0
21:52:09.895,6091361.0
21:52:09.935,6090447.0
21:52:09.975,6090666.0
21:52:10.015,6091253.0
21:52:10.055,6092189.0
21:52:11.093,6092620.0
21:52:11.133,6090278.0
21:52:11.173,6090353.0
21:52:11.213,6090540.0
21:52:11.253,6090628.0
21:52:11.293,6090103.0
